registration date,Топливные составы и металлургия,Медицинские инструменты и терапия,Промышленное хранение и эксплуатация,Авиационно-космические системы,Производство материалов и антенн,Двигатели внутреннего сгорания,Технологии передачи данных,Строительные конструкции,Измерительные системы и датчики,Электронные системы контроля,Пищевая промышленность,Системы автоматического управления,Очистные установки и покрытия,Упаковочные решения,Гидравлическое оборудование,Нефтегазовые и лазерные технологии,Энергетика и переработка отходов,Водоочистка и полимеры,Фармацевтические исследования,Пневматические и шинные системы,Системы обнаружения и диагностики,Автомобильные технологии,Транспортные средства,Оптические и производственные технологии,Фармацевтические композиции,Сварочные и режущие системы,Прогнозирование и развитие,Сельскохозяйственная техника
2000-03-31,2,6,3,3,3,12,7,5,5,3,1,5,6,9,8,2,4,5,1,7,3,7,11,3,15,7,4,2
2000-04-30,3,6,6,4,3,5,3,5,0,5,4,11,6,9,5,4,9,7,5,5,4,8,8,6,16,6,3,6
2000-05-31,7,5,9,7,8,18,5,8,4,14,5,11,7,8,12,5,4,6,1,6,13,15,5,3,16,4,4,4
2000-06-30,11,13,4,9,9,27,6,7,4,7,11,12,6,15,6,4,8,3,3,4,12,9,7,16,18,7,6,10
2000-07-31,3,6,3,9,10,21,6,9,3,4,1,11,9,4,6,2,8,9,4,7,8,9,14,7,28,8,3,10
2000-08-31,3,5,6,11,1,16,9,3,3,4,4,14,15,17,4,2,13,5,7,7,6,5,7,6,26,6,7,2
2000-09-30,2,5,8,6,9,21,13,5,2,2,9,9,7,11,7,10,10,20,5,5,8,12,4,17,22,6,3,5
2000-10-31,3,5,2,3,3,19,3,4,5,4,5,7,6,14,4,4,10,14,3,4,8,5,7,5,26,8,5,4
2000-11-30,2,5,6,7,3,19,11,10,4,8,4,21,5,11,12,6,3,10,2,0,8,8,11,7,25,9,5,6
2000-12-31,2,5,4,6,7,23,7,4,5,4,7,7,6,8,6,6,4,12,0,6,6,9,12,5,26,4,8,5
2001-01-31,2,8,6,4,4,22,4,7,6,7,3,4,5,7,6,9,7,2,2,2,7,4,11,1,19,4,4,2
2001-02-28,1,5,4,3,4,24,6,5,2,3,5,12,10,8,8,3,1,3,4,6,8,4,9,4,16,1,3,3
2001-03-31,0,6,5,5,1,16,1,10,2,6,4,5,10,2,7,4,3,9,2,6,3,11,5,7,6,1,4,4
2001-04-30,5,2,7,5,4,24,6,5,6,3,8,9,11,19,11,8,11,9,1,4,5,10,7,19,23,10,4,0
2001-05-31,11,4,10,3,4,36,10,12,3,7,5,7,6,17,10,13,12,4,1,5,15,12,13,20,28,4,6,4
2001-06-30,4,3,4,1,4,18,7,7,6,8,6,14,14,5,6,4,8,8,1,7,11,7,9,7,23,11,6,8
2001-07-31,8,5,6,4,6,31,1,8,1,5,4,2,9,8,4,6,9,9,2,1,6,9,6,9,17,6,5,2
2001-08-31,3,7,5,5,2,17,14,6,8,4,6,6,10,6,8,7,11,8,3,9,9,4,15,21,17,4,6,7
2001-09-30,5,8,3,2,1,18,10,6,4,6,6,4,10,6,6,4,6,9,2,2,14,4,11,2,15,9,3,3
2001-10-31,2,4,5,3,4,13,8,8,1,11,4,5,8,10,9,10,8,11,2,8,6,8,13,6,19,2,2,1
2001-11-30,4,4,3,2,3,11,3,7,1,3,3,6,8,10,3,4,4,4,1,1,6,7,3,2,11,10,2,4
2001-12-31,2,3,6,3,2,16,9,13,1,6,6,7,10,3,8,2,6,14,0,5,4,4,14,5,13,5,3,2
2002-01-31,5,5,8,6,3,18,5,6,1,3,5,7,3,27,3,1,6,6,0,5,3,14,8,7,19,3,5,1
2002-02-28,4,9,3,6,0,18,8,6,2,8,3,10,8,5,8,2,1,8,0,2,8,2,6,8,20,10,3,7
2002-03-31,3,8,4,4,0,11,4,2,0,4,22,2,4,2,4,1,1,6,1,1,1,5,17,1,15,5,1,2
2002-04-30,4,3,4,3,4,4,10,6,3,6,1,7,7,12,3,4,4,8,2,5,7,2,7,5,15,1,6,5
2002-05-31,9,1,2,2,4,22,5,10,0,4,22,18,8,6,5,5,5,8,6,6,2,1,6,9,13,8,3,1
2002-06-30,7,4,3,3,7,18,7,6,4,9,2,16,5,9,7,6,7,12,2,4,16,12,9,6,19,12,1,1
2002-07-31,8,9,7,6,3,26,10,11,2,4,9,17,12,15,8,3,8,16,4,9,8,19,17,13,19,7,8,10
2002-08-31,7,9,6,9,5,28,13,14,8,8,7,10,10,16,11,9,6,10,3,7,11,9,11,8,26,15,10,9
2002-09-30,4,12,2,6,5,32,10,5,3,7,19,11,4,13,13,11,6,4,5,1,7,8,13,10,18,8,3,6
2002-10-31,5,8,4,7,5,22,5,5,1,5,2,14,9,10,8,9,8,9,6,2,14,12,12,8,24,11,6,7
2002-11-30,7,7,3,5,6,21,9,2,4,3,11,6,4,8,10,3,4,10,5,4,7,10,14,7,28,5,6,8
2002-12-31,1,12,3,7,5,35,9,8,3,8,32,13,6,7,10,8,9,11,3,5,13,13,13,7,40,6,8,8
2003-01-31,4,17,5,7,9,25,3,8,2,8,7,12,5,15,10,11,4,10,4,4,9,12,13,11,23,25,10,3
2003-02-28,3,7,22,7,2,21,9,9,5,7,1,13,11,14,1,10,10,13,4,2,11,13,10,8,30,10,10,3
2003-03-31,7,14,14,11,5,28,5,11,6,5,9,10,12,15,10,7,8,11,4,4,7,17,20,11,20,10,10,7
2003-04-30,12,13,17,8,8,17,8,6,4,9,3,7,9,20,8,5,10,11,6,5,4,15,15,12,32,10,8,3
2003-05-31,4,6,3,7,6,22,14,4,9,7,16,12,10,16,7,26,6,10,5,3,12,8,20,1,23,11,9,10
2003-06-30,8,13,14,13,6,32,11,8,7,4,9,16,6,11,8,6,12,13,3,8,11,12,20,11,21,13,8,8
2003-07-31,6,3,5,8,5,15,8,7,8,4,17,14,10,20,8,18,6,17,7,6,12,8,10,5,19,23,6,7
2003-08-31,2,7,8,7,6,26,7,16,8,14,5,14,5,9,7,23,9,12,6,6,7,7,17,29,13,10,7,6
2003-09-30,2,9,8,7,4,28,12,20,3,12,13,9,13,13,12,7,4,12,2,4,8,12,28,22,15,14,6,7
2003-10-31,2,11,4,9,10,17,5,11,10,16,7,16,10,25,13,7,7,14,5,5,8,14,12,37,30,7,7,11
2003-11-30,9,11,13,4,5,35,14,14,35,9,5,19,8,15,13,3,18,14,2,8,8,8,7,33,20,11,4,4
2003-12-31,4,11,8,9,11,32,12,14,9,19,4,22,12,8,9,11,10,10,4,5,13,13,14,49,31,10,16,8
2004-01-31,5,6,57,8,2,18,8,5,7,7,9,6,14,8,8,4,8,14,3,9,9,10,16,7,41,12,5,4
2004-02-29,6,7,22,3,6,18,11,4,7,10,3,11,11,7,7,4,6,9,2,3,11,8,13,7,32,4,9,9
2004-03-31,3,5,10,4,4,16,3,5,5,7,2,5,12,4,8,4,3,17,2,6,7,6,12,4,20,4,8,5
2004-04-30,3,3,82,7,2,12,4,4,1,6,19,8,6,2,4,4,9,9,4,5,6,4,6,27,11,4,4,4
2004-05-31,4,6,48,7,3,21,5,7,3,6,6,9,15,5,6,7,9,11,0,5,8,7,20,13,22,7,5,6
2004-06-30,4,6,9,5,6,31,6,11,3,10,1,12,7,5,5,8,7,10,1,5,13,7,15,6,23,7,8,4
2004-07-31,6,4,11,6,5,20,11,4,4,11,4,18,10,13,10,6,5,13,4,4,8,3,11,5,23,10,5,6
2004-08-31,4,14,6,9,5,14,13,3,4,13,3,11,8,8,8,7,6,18,4,9,18,8,16,9,22,12,8,15
2004-09-30,4,8,6,5,9,15,10,15,6,9,1,7,14,10,12,11,14,14,1,6,9,14,17,6,20,15,5,12
2004-10-31,4,9,5,6,7,15,8,8,4,9,3,10,15,7,9,8,10,16,6,3,6,5,18,9,31,11,7,7
2004-11-30,0,15,8,10,3,33,12,11,12,7,6,19,10,6,14,5,12,9,3,5,10,6,14,6,29,9,8,8
2004-12-31,8,17,10,11,7,26,5,8,5,6,1,18,14,7,8,9,4,15,7,6,15,13,27,10,35,10,7,7
2005-01-31,2,13,21,7,4,28,5,7,3,8,9,5,11,18,9,10,16,10,3,5,9,14,14,8,21,19,8,3
2005-02-28,7,4,7,5,8,23,10,9,7,11,14,9,10,28,8,4,22,7,5,6,12,7,18,8,17,13,5,1
2005-03-31,5,4,3,4,9,19,15,4,9,10,4,15,6,8,8,8,7,8,1,10,12,18,20,3,20,9,4,9
2005-04-30,2,9,23,6,8,19,7,9,10,10,41,11,17,10,12,7,11,3,1,5,8,3,7,12,10,12,2,4
2005-05-31,5,12,1,3,26,16,7,6,8,12,6,14,49,10,13,9,8,15,4,6,8,5,12,5,18,12,4,2
2005-06-30,13,9,10,4,21,19,9,9,5,5,13,9,14,23,8,4,9,18,3,5,5,12,11,8,26,28,8,5
2005-07-31,2,15,7,6,7,14,3,11,12,3,12,8,14,33,3,6,24,9,1,4,13,21,10,3,23,12,10,1
